Category,headergen_function_returns,headergen_function_parameters,headergen_local_variables,jedi_function_returns,jedi_function_parameters,jedi_local_variables,pyright_function_returns,pyright_function_parameters,pyright_local_variables,hityperdl_function_returns,hityperdl_function_parameters,hityperdl_local_variables,hityper_function_returns,hityper_function_parameters,hityper_local_variables,scalpel_function_returns,scalpel_function_parameters,scalpel_local_variables,type4py_function_returns,type4py_function_parameters,type4py_local_variables
args,17,9,12,12,0,9,8,1,8,12,0,6,8,0,0,8,7,0,11,2,6
assignments,15,1,33,20,0,21,20,0,25,21,4,9,20,0,5,20,2,1,0,2,5
builtins,0,0,6,0,0,21,1,0,45,1,2,18,1,0,17,0,0,0,1,2,8
classes,39,7,67,0,0,57,1,0,46,27,2,41,24,0,23,25,0,0,0,0,17
decorators,11,6,2,10,0,8,7,0,3,8,0,3,7,0,0,16,3,0,7,0,3
dicts,23,3,53,21,0,34,19,2,50,20,3,22,20,2,16,19,2,1,2,3,18
direct_calls,10,3,8,6,0,7,3,0,6,3,2,4,2,0,0,5,1,0,2,2,4
dynamic,1,0,2,1,0,2,1,0,2,1,0,5,1,0,2,1,0,0,0,0,5
exceptions,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
external,0,0,3,0,0,8,0,0,2,1,0,4,0,0,2,0,1,0,1,0,1
functions,8,9,12,5,0,14,5,2,13,5,5,5,3,2,1,6,5,1,1,3,4
generators,9,4,20,5,0,23,4,3,18,10,5,11,10,3,11,6,1,3,1,1,3
imports,3,0,11,1,0,16,3,0,20,3,0,11,3,0,0,3,0,0,3,0,10
kwargs,8,5,5,7,0,4,4,0,5,7,0,0,4,0,0,4,4,0,3,0,0
lambdas,3,7,4,6,0,11,2,0,1,3,0,7,3,0,5,2,4,0,0,0,2
lists,14,1,20,17,0,27,13,0,25,16,3,16,13,0,13,16,1,0,2,3,4
mro,14,0,16,0,0,13,0,0,14,15,0,11,13,0,6,13,0,0,0,0,4
returns,10,1,15,11,0,17,9,0,13,10,1,5,9,0,0,11,5,0,5,1,5
totals,185,56,291,122,0,293,100,8,297,163,27,179,141,7,102,155,36,6,39,19,99
